2025-05-16 16:39:42,815 - ERROR - Failed to process beatmapset 1716810: permission denied for table beatmapsets

2025-05-16 16:39:42,818 - ERROR - Failed to process beatmapset 2336310: permission denied for table beatmapsets

2025-05-16 16:39:42,821 - ERROR - Failed to process beatmapset 1944664: permission denied for table beatmapsets

2025-05-16 16:39:42,826 - ERROR - Failed to process beatmapset 2234836: permission denied for table beatmapsets

2025-05-16 16:39:42,830 - ERROR - Failed to process beatmapset 2249309: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,833 - ERROR - Failed to process beatmapset 2340466: permission denied for table beatmapsets

2025-05-16 16:39:42,836 - ERROR - Failed to process beatmapset 1743869: permission denied for table beatmapsets

2025-05-16 16:39:42,839 - ERROR - Failed to process beatmapset 2279924: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,842 - ERROR - Failed to process beatmapset 2364551: permission denied for table beatmapsets

2025-05-16 16:39:42,846 - ERROR - Failed to process beatmapset 2256627: permission denied for table beatmapsets

2025-05-16 16:39:42,849 - ERROR - Failed to process beatmapset 2286099: permission denied for table beatmapsets

2025-05-16 16:39:42,851 - ERROR - Failed to process beatmapset 2304283: permission denied for table beatmapsets

2025-05-16 16:39:42,854 - ERROR - Failed to process beatmapset 2356035: permission denied for table beatmapsets

2025-05-16 16:39:42,857 - ERROR - Failed to process beatmapset 2162211: permission denied for table beatmapsets

2025-05-16 16:39:42,860 - ERROR - Failed to process beatmapset 1245472: permission denied for table beatmapsets

2025-05-16 16:39:42,863 - ERROR - Failed to process beatmapset 1971175: permission denied for table beatmapsets

2025-05-16 16:39:42,866 - ERROR - Failed to process beatmapset 2334282: permission denied for table beatmapsets

2025-05-16 16:39:42,868 - ERROR - Failed to process beatmapset 2359421: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:42,872 - ERROR - Failed to process beatmapset 2300548: permission denied for table beatmapsets

2025-05-16 16:39:42,874 - ERROR - Failed to process beatmapset 2349851: permission denied for table beatmapsets

2025-05-16 16:39:42,877 - ERROR - Failed to process beatmapset 2303328: permission denied for table beatmapsets

2025-05-16 16:39:42,879 - ERROR - Failed to process beatmapset 2081831: permission denied for table beatmapsets

2025-05-16 16:39:42,882 - ERROR - Failed to process beatmapset 2249236: permission denied for table beatmapsets

2025-05-16 16:39:42,884 - ERROR - Failed to process beatmapset 2213181: permission denied for table beatmapsets

2025-05-16 16:39:42,887 - ERROR - Failed to process beatmapset 2263138: permission denied for table beatmapsets

2025-05-16 16:39:42,889 - ERROR - Failed to process beatmapset 2324506: permission denied for table beatmapsets

2025-05-16 16:39:42,892 - ERROR - Failed to process beatmapset 1767839: numeric field overflow
